country,year,fatal_pc_km,fatal_mIn,accid_adj_pc_km,p_km,croad_inv_km,croad_maint_km,prop_motorwa,populat,unemploy,petrol_car,alcohol,mot_index_1000,den_populat,cgdp,cgdp_cap,precipit,prop_elder,dps,freight
Austria,1998,11.44,93.09,242.56,64.86,5523.00,6845.95,1.52,7971116.00,4.70,1.47,12.90,487.64,95.04,2786600000000000.00,34959.08,1374.86,15.36,0.00,30.30
Austria,1999,12.39,102.60,231.60,66.11,5012.59,6756.10,1.54,7982461.00,4.20,1.38,12.80,502.35,95.18,2758600000000000.00,34558.19,1429.48,15.41,0.00,33.98
Austria,2000,11.38,94.85,252.17,66.67,5937.96,6350.49,1.53,8002186.00,3.90,1.42,13.20,511.99,95.41,2851400000000000.00,35632.89,1329.12,15.42,0.00,35.12
Austria,2001,11.06,92.51,248.99,67.10,7821.22,6354.74,1.54,8020946.00,4.00,1.49,12.40,521.38,95.64,2857200000000000.00,35622.19,1138.35,15.43,0.00,37.53
Austria,2002,10.17,85.69,250.69,67.96,6387.88,3530.14,1.54,8063640.00,4.40,1.73,12.50,494.44,96.14,2878100000000000.00,35692.52,1308.67,15.49,0.00,38.50
Austria,2003,10.27,87.40,242.37,68.94,7705.60,4599.65,1.56,8100273.00,4.80,1.82,12.20,500.48,96.58,2929700000000000.00,36167.35,982.83,15.44,0.00,39.56
Austria,2004,9.28,79.34,249.22,69.61,8332.48,5300.38,1.56,8142573.00,5.50,1.81,12.10,504.63,97.09,3010700000000000.00,36975.15,1108.93,15.49,0.00,39.19
Austria,2005,8.02,69.01,236.94,70.56,7776.70,5014.67,1.56,8201359.00,5.60,1.86,12.40,506.87,97.79,3096200000000000.00,37752.40,1115.98,15.95,1.00,37.04
Austria,2006,7.48,64.21,221.35,70.89,8935.10,5514.81,1.56,8254298.00,5.30,1.79,12.40,509.43,98.42,3186300000000000.00,38602.30,1161.19,16.45,1.00,39.19
Austria,2007,7.19,62.54,205.74,72.02,9370.59,5234.61,1.56,8282984.00,4.90,1.80,12.50,512.62,98.76,3317200000000000.00,40047.84,1258.92,16.89,1.00,37.40
Austria,2008,6.69,58.98,209.56,73.28,9133.03,4874.43,1.56,8307989.00,4.10,1.72,12.00,515.77,99.06,3315400000000000.00,39906.24,1320.21,17.14,1.00,34.31
Austria,2009,6.33,55.19,196.42,72.68,6807.48,5282.20,1.54,8335003.00,5.30,1.65,11.30,523.10,99.38,3247900000000000.00,38966.98,1411.63,17.39,1.00,29.08
Austria,2010,5.59,49.21,191.98,73.47,3775.72,5411.87,1.50,8351643.00,4.80,1.68,12.10,531.75,99.58,3268900000000000.00,39140.48,1337.01,17.64,1.00,28.66
Austria,2011,5.16,45.85,174.36,74.45,2606.96,4250.29,1.38,8375164.00,4.60,1.59,11.90,538.86,99.86,3322500000000000.00,39671.26,1031.38,17.64,1.00,28.54
Austria,2012,5.12,45.19,168.15,74.15,2751.51,4350.24,1.38,8408121.00,4.90,1.57,12.10,545.19,100.25,3340600000000000.00,39730.76,1262.05,17.80,1.00,26.09
Austria,2013,4.54,40.23,200.69,74.84,2979.99,4589.02,1.38,8451860.00,5.40,1.62,11.60,549.15,100.77,3307400000000000.00,39131.66,1398.41,18.07,1.00,24.21
Austria,2014,4.01,36.08,181.71,76.59,3665.31,5396.82,1.38,8507786.00,5.60,1.58,12.20,551.84,101.44,3350100000000000.00,39376.63,1420.74,18.30,1.00,25.26
Austria,2015,4.48,40.89,172.46,78.35,3240.39,4928.25,1.22,8584926.00,5.70,1.60,11.40,553.07,102.36,3439800000000000.00,40067.88,1084.51,18.45,1.00,25.46
