country,year,fatal_pc_km,fatal_mIn,accid_adj_pc_km,p_km,croad_inv_km,croad_maint_km,prop_motorwa,populat,unemploy,petrol_car,alcohol,mot_index_1000,den_populat,cgdp,cgdp_cap,precipit,prop_elder,dps,freight,total_fatalities,total_accidents,fatal_index_1000
Austria,1998,11.44,93.09,242.56,64.86,5523.0,6845.95,1.52,7971116.0,4.7,1.47,12.9,487.64,95.04,2786600000000000.0,34959.08,1374.86,15.36,0.0,30.3,742.0,15732.0,47.165013984235955
Austria,1999,12.39,102.6,231.6,66.11,5012.59,6756.1,1.54,7982461.0,4.2,1.38,12.8,502.35,95.18,2758600000000000.0,34558.19,1429.48,15.41,0.0,33.98,819.0,15311.0,53.49095421592319
Austria,2000,11.38,94.85,252.17,66.67,5937.96,6350.49,1.53,8002186.0,3.9,1.42,13.2,511.99,95.41,2851400000000000.0,35632.89,1329.12,15.42,0.0,35.12,759.0,16812.0,45.14632405424697
Austria,2001,11.06,92.51,248.99,67.1,7821.22,6354.74,1.54,8020946.0,4.0,1.49,12.4,521.38,95.64,2857200000000000.0,35622.19,1138.35,15.43,0.0,37.53,742.0,16707.0,44.41252169749207
Austria,2002,10.17,85.69,250.69,67.96,6387.88,3530.14,1.54,8063640.0,4.4,1.73,12.5,494.44,96.14,2878100000000000.0,35692.52,1308.67,15.49,0.0,38.5,691.0,17037.0,40.55878382344309
Austria,2003,10.27,87.4,242.37,68.94,7705.6,4599.65,1.56,8100273.0,4.8,1.82,12.2,500.48,96.58,2929700000000000.0,36167.35,982.83,15.44,0.0,39.56,708.0,16709.0,42.372374169609195
Austria,2004,9.28,79.34,249.22,69.61,8332.48,5300.38,1.56,8142573.0,5.5,1.81,12.1,504.63,97.09,3010700000000000.0,36975.15,1108.93,15.49,0.0,39.19,646.0,17348.0,37.23772192759972
Austria,2005,8.02,69.01,236.94,70.56,7776.7,5014.67,1.56,8201359.0,5.6,1.86,12.4,506.87,97.79,3096200000000000.0,37752.4,1115.98,15.95,1.0,37.04,566.0,16718.0,33.85572436894365
Austria,2006,7.48,64.21,221.35,70.89,8935.1,5514.81,1.56,8254298.0,5.3,1.79,12.4,509.43,98.42,3186300000000000.0,38602.3,1161.19,16.45,1.0,39.19,530.0,15692.0,33.77517206219729
Austria,2007,7.19,62.54,205.74,72.02,9370.59,5234.61,1.56,8282984.0,4.9,1.8,12.5,512.62,98.76,3317200000000000.0,40047.84,1258.92,16.89,1.0,37.4,518.0,14817.0,34.959843423095094
Austria,2008,6.69,58.98,209.56,73.28,9133.03,4874.43,1.56,8307989.0,4.1,1.72,12.0,515.77,99.06,3315400000000000.0,39906.24,1320.21,17.14,1.0,34.31,490.0,15357.0,31.90727355603308
Austria,2009,6.33,55.19,196.42,72.68,6807.48,5282.2,1.54,8335003.0,5.3,1.65,11.3,523.1,99.38,3247900000000000.0,38966.98,1411.63,17.39,1.0,29.08,460.0,14276.0,32.2219108994116
Austria,2010,5.59,49.21,191.98,73.47,3775.72,5411.87,1.5,8351643.0,4.8,1.68,12.1,531.75,99.58,3268900000000000.0,39140.48,1337.01,17.64,1.0,28.66,411.0,14105.0,29.138603332151717
Austria,2011,5.16,45.85,174.36,74.45,2606.96,4250.29,1.38,8375164.0,4.6,1.59,11.9,538.86,99.86,3322500000000000.0,39671.26,1031.38,17.64,1.0,28.54,384.0,12981.0,29.58169632539866
Austria,2012,5.12,45.19,168.15,74.15,2751.51,4350.24,1.38,8408121.0,4.9,1.57,12.1,545.19,100.25,3340600000000000.0,39730.76,1262.05,17.8,1.0,26.09,380.0,12468.0,30.478023740776386
Austria,2013,4.54,40.23,200.69,74.84,2979.99,4589.02,1.38,8451860.0,5.4,1.62,11.6,549.15,100.77,3307400000000000.0,39131.66,1398.41,18.07,1.0,24.21,340.0,15020.0,22.63648468708389
Austria,2014,4.01,36.08,181.71,76.59,3665.31,5396.82,1.38,8507786.0,5.6,1.58,12.2,551.84,101.44,3350100000000000.0,39376.63,1420.74,18.3,1.0,25.26,307.0,13917.0,22.059351871811455
Austria,2015,4.48,40.89,172.46,78.35,3240.39,4928.25,1.22,8584926.0,5.7,1.6,11.4,553.07,102.36,3439800000000000.0,40067.88,1084.51,18.45,1.0,25.46,351.0,13512.0,25.976909413854354
Austria,2016,4.0,37.01,168.32,80.44,3124.58,4905.03,1.22,8700471.0,6.0,1.62,11.7,554.17,103.74,3526400000000000.0,40531.18,1345.36,18.45,1.0,26.14,322.0,13540.0,23.78138847858198
Belgium,1998,10.89,107.04,312.27,100.15,1443.84,493.95,1.15,10192264.0,9.3,1.64,9.92,440.73,333.87,3347400000000000.0,32842.55,1096.2,16.47,0.0,41.1,1091.0,31274.0,34.88520816013302
Belgium,1999,9.68,96.73,310.56,102.04,1505.63,542.4,1.15,10213752.0,8.4,1.62,10.1,448.81,334.57,3305100000000000.0,32358.96,976.8,16.62,0.0,37.28,988.0,31690.0,31.17702745345535
Belgium,2000,10.41,104.21,290.19,102.54,1351.08,534.99,1.16,10239085.0,6.9,1.61,11.25,456.88,335.4,3425100000000000.0,33451.04,1039.93,16.75,0.0,51.05,1067.0,29756.0,35.85831428955505
